Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score
708117933,Blue,360,0,70,01-01-2023,Week-1,Q1,2023,1880.0,0,2469,34,0.0,Chip ,Bills,419.73,1,49,F,4,Graduate,Married,CA,91750,no,yes,no,unknown,Retirees,28122,1
708119658,Blue,340,0,44,01-01-2023,Week-1,Q1,2023,12836.0,1034,2519,53,0.081,Swipe ,Bills,554.18,0,53,F,2,Graduate,Single,FL,91750,yes,no,no,cellular,Govt,29021,1
708121908,Blue,405,0,71,01-01-2023,Week-1,Q1,2023,22917.0,0,2045,45,0.0,Swipe ,Grocery,265.85,0,49,F,1,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,20632,3
708123033,Silver,355,0,78,01-01-2023,Week-1,Q1,2023,11463.0,0,14511,105,0.0,Swipe ,Fuel,3047.31,0,47,F,5,Graduate,Married,FL,91750,no,no,no,cellular,Businessman,172101,2
708125733,Blue,220,0,69,01-01-2023,Week-1,Q1,2023,1438.3,0,4311,77,0.0,Swipe ,Entertainment,1207.08,0,43,F,4,Graduate,Single,FL,91750,no,no,no,cellular,Retirees,57168,2
708128733,Blue,125,1,105,01-01-2023,Week-1,Q1,2023,1814.0,0,5014,99,0.0,Swipe ,Entertainment,1303.64,0,47,M,3,Graduate,Married,NY,91750,no,no,no,cellular,Govt,89954,2
708129933,Blue,350,1,77,01-01-2023,Week-1,Q1,2023,2072.0,1544,4210,64,0.745,Chip ,Entertainment,884.1,0,34,F,3,Uneducated,Single,TX,91750,yes,yes,yes,telephone,Blue-collar,53762,1
708132783,Blue,250,1,92,01-01-2023,Week-1,Q1,2023,16411.0,1179,3929,71,0.072,Swipe ,Food,785.8,1,37,F,5,Unknown,Married,NJ,91750,yes,yes,no,cellular,Selfemployeed,45476,3
708134283,Blue,125,1,101,01-01-2023,Week-1,Q1,2023,3131.0,629,1483,31,0.201,Swipe ,Food,311.43,0,63,M,0,Graduate,Single,TX,91750,yes,yes,yes,cellular,Selfemployeed,14975,2
708136908,Blue,110,1,73,01-01-2023,Week-1,Q1,2023,2616.0,801,4655,68,0.306,Swipe ,Entertainment,605.15,0,55,M,2,Doctorate,Married,MO,91750,yes,yes,no,cellular,Retirees,72878,2
708139833,Blue,460,0,111,01-01-2023,Week-1,Q1,2023,6391.0,0,2323,44,0.0,Swipe ,Grocery,441.37,0,38,F,1,Unknown,Single,NY,91750,no,no,no,cellular,Businessman,25667,3
708145908,Blue,320,0,78,01-01-2023,Week-1,Q1,2023,4906.0,2185,3999,71,0.445,Swipe ,Bills,959.76,0,40,M,3,Graduate,Single,MA,91750,no,yes,no,cellular,Blue-collar,47224,1
708147108,Blue,320,0,112,01-01-2023,Week-1,Q1,2023,21084.0,2517,2309,71,0.119,Swipe ,Travel,277.08,0,55,F,0,Graduate,Single,NY,91750,yes,no,no,unknown,White-collar,25341,2
708148158,Blue,175,0,73,01-01-2023,Week-1,Q1,2023,1827.0,0,4207,86,0.0,Swipe ,Fuel,925.54,0,33,M,2,Doctorate,Single,NY,91750,no,yes,yes,cellular,Blue-collar,53644,3
708151008,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,6250.0,644,2433,41,0.103,Swipe ,Fuel,486.6,0,54,F,1,Uneducated,Married,CA,91750,no,yes,no,cellular,Govt,27423,2
708152358,Blue,335,1,101,01-01-2023,Week-1,Q1,2023,18512.0,1664,8019,57,0.09,Swipe ,Food,721.71,0,46,M,3,Graduate,Married,NY,91750,yes,yes,no,cellular,Blue-collar,110014,2
708153558,Blue,375,0,150,01-01-2023,Week-1,Q1,2023,34516.0,1802,7936,101,0.052,Swipe ,Fuel,634.88,0,44,M,4,Graduate,Unknown,IA,91750,no,no,no,telephone,Businessman,109186,3
708154833,Blue,250,0,82,01-01-2023,Week-1,Q1,2023,1438.3,811,2336,46,0.564,Chip ,Fuel,630.72,0,40,F,3,Graduate,Married,NJ,91750,yes,yes,no,cellular,Govt,25835,2
708155733,Blue,335,0,88,01-01-2023,Week-1,Q1,2023,14734.0,1634,1289,23,0.111,Swipe ,Bills,296.47,0,44,F,3,Graduate,Married,CA,91750,yes,yes,no,unknown,Selfemployeed,11345,2
708158133,Blue,110,1,131,01-01-2023,Week-1,Q1,2023,3031.0,2517,2188,50,0.83,Swipe ,Bills,350.08,1,51,F,2,Uneducated,Single,NY,91750,yes,no,no,cellular,Selfemployeed,23215,2
708160008,Blue,375,1,96,01-01-2023,Week-1,Q1,2023,34516.0,1058,7412,84,0.031,Swipe ,Bills,1927.12,0,60,M,0,Graduate,Single,CA,91750,no,no,no,cellular,Businessman,103581,3
708161133,Blue,150,1,99,01-01-2023,Week-1,Q1,2023,6629.0,1389,3891,69,0.21,Swipe ,Fuel,466.92,0,49,F,2,Unknown,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,44555,3
708162558,Blue,420,0,88,01-01-2023,Week-1,Q1,2023,3250.0,1992,1355,36,0.613,Swipe ,Entertainment,189.7,1,43,F,5,Graduate,Married,TX,91750,no,yes,no,cellular,Selfemployeed,12381,2
708163758,Platinum,470,0,158,01-01-2023,Week-1,Q1,2023,34516.0,638,13085,139,0.018,Swipe ,Bills,2355.3,0,54,M,1,Graduate,Single,NY,91750,no,yes,no,unknown,White-collar,123809,1
708170508,Blue,250,0,72,01-01-2023,Week-1,Q1,2023,1438.3,0,1651,42,0.0,Swipe ,Entertainment,462.28,0,32,F,0,Graduate,Married,FL,91750,yes,no,no,unknown,Selfemployeed,14975,1
708171858,Blue,100,1,104,01-01-2023,Week-1,Q1,2023,1864.0,1081,2607,44,0.58,Swipe ,Fuel,312.84,0,52,F,3,Graduate,Married,NY,91750,no,yes,no,unknown,Businessman,30586,1
708173433,Blue,285,0,40,01-01-2023,Week-1,Q1,2023,5645.0,2324,2482,57,0.412,Swipe ,Food,496.4,0,43,F,1,Graduate,Single,CA,91750,no,no,no,unknown,Retirees,28367,3
708174708,Blue,175,1,69,01-01-2023,Week-1,Q1,2023,5535.0,1276,1764,38,0.231,Swipe ,Fuel,194.04,0,49,F,0,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,15355,1
708176208,Blue,465,1,89,01-01-2023,Week-1,Q1,2023,7268.0,0,4199,80,0.0,Swipe ,Food,587.86,0,49,F,1,Uneducated,Married,CA,91750,no,no,no,cellular,Govt,53428,2
708177333,Silver,460,1,107,01-01-2023,Week-1,Q1,2023,11261.0,2485,1158,26,0.221,Swipe ,Bills,243.18,0,42,F,3,Graduate,Single,CA,91750,yes,yes,no,unknown,Selfemployeed,7865,2
708178608,Blue,300,0,111,01-01-2023,Week-1,Q1,2023,2488.0,0,4226,73,0.0,Chip ,Grocery,253.56,0,48,F,3,Unknown,Unknown,FL,91750,no,no,no,cellular,Blue-collar,54304,1
708185208,Blue,110,1,74,01-01-2023,Week-1,Q1,2023,3178.0,1118,2010,31,0.352,Swipe ,Bills,180.9,0,47,F,2,Doctorate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,20100,2
708186933,Blue,195,1,102,01-01-2023,Week-1,Q1,2023,1819.0,725,2254,45,0.399,Swipe ,Bills,270.48,0,47,F,4,Unknown,Unknown,CA,91750,no,yes,no,cellular,Blue-collar,24295,1
708190158,Blue,175,0,113,01-01-2023,Week-1,Q1,2023,2920.0,2426,2750,41,0.831,Swipe ,Food,632.5,0,47,F,3,Unknown,Single,NY,91750,no,yes,no,unknown,Govt,32103,3
708193008,Blue,340,0,148,01-01-2023,Week-1,Q1,2023,14480.0,0,1616,43,0.0,Online ,Entertainment,387.84,0,53,F,2,Graduate,Married,CA,91750,no,no,yes,telephone,Selfemployeed,14975,2
708195633,Silver,110,1,70,01-01-2023,Week-1,Q1,2023,34516.0,1182,2440,54,0.034,Online ,Entertainment,488.0,0,47,F,4,High School,Married,TX,91750,yes,yes,no,unknown,Selfemployeed,27517,3
708197358,Blue,225,0,111,01-01-2023,Week-1,Q1,2023,30543.0,264,7784,63,0.009,Online ,Food,622.72,1,42,M,1,Uneducated,Married,AK,99504,no,no,yes,cellular,Govt,107887,1
708204033,Blue,295,0,86,01-01-2023,Week-1,Q1,2023,2980.0,2093,4132,70,0.702,Chip ,Travel,826.4,1,53,M,2,Graduate,Married,CA,91750,yes,no,yes,cellular,Selfemployeed,51233,1
708205083,Blue,125,1,151,01-01-2023,Week-1,Q1,2023,1438.3,0,4815,81,0.0,Chip ,Travel,337.05,1,54,M,2,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,79516,1
708207783,Blue,355,1,107,01-01-2023,Week-1,Q1,2023,1477.0,0,4680,80,0.0,Swipe ,Entertainment,514.8,1,48,M,1,Graduate,Married,NY,91750,no,yes,no,cellular,Blue-collar,73959,1
708208758,Blue,275,1,85,01-01-2023,Week-1,Q1,2023,1826.0,883,2199,48,0.484,Swipe ,Fuel,571.74,1,42,F,3,Doctorate,Single,FL,91750,yes,yes,no,cellular,Blue-collar,23377,2
708211383,Blue,200,0,111,01-01-2023,Week-1,Q1,2023,2664.0,0,3906,74,0.0,Online ,Fuel,1054.62,1,44,F,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Retirees,44883,3
708212658,Blue,190,1,70,01-01-2023,Week-1,Q1,2023,2193.0,1260,1799,47,0.575,Swipe ,Bills,521.71,1,40,F,3,High School,Single,TX,91750,no,no,yes,unknown,Retirees,16041,2
708216108,Blue,300,1,93,01-01-2023,Week-1,Q1,2023,4088.0,1557,2250,39,0.381,Swipe ,Bills,157.5,1,58,F,1,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,24221,3
708217758,Blue,475,0,96,01-01-2023,Week-1,Q1,2023,14035.0,2061,1606,30,0.147,Swipe ,Bills,385.44,1,57,F,1,Graduate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,14975,3
708219108,Blue,300,1,95,01-01-2023,Week-1,Q1,2023,9959.0,1143,7300,77,0.115,Swipe ,Grocery,803.0,1,38,M,2,Graduate,Married,CA,91750,yes,no,no,cellular,Blue-collar,102561,3
708219858,Blue,390,1,79,01-01-2023,Week-1,Q1,2023,6423.0,0,4295,70,0.0,Swipe ,Food,901.95,0,53,F,1,Graduate,Unknown,CA,91750,no,yes,no,cellular,White-collar,56697,2
708222558,Blue,125,1,109,01-01-2023,Week-1,Q1,2023,2310.0,1513,4191,77,0.655,Chip ,Food,712.47,0,60,F,1,Uneducated,Single,NJ,91750,no,no,no,cellular,Retirees,53022,3
708223383,Blue,295,0,81,01-01-2023,Week-1,Q1,2023,11410.0,979,2736,38,0.086,Chip ,Bills,793.44,0,51,F,3,Uneducated,Married,NY,91750,yes,no,yes,cellular,Businessman,32013,1
708224133,Blue,430,1,105,01-01-2023,Week-1,Q1,2023,2228.0,1480,4431,71,0.664,Swipe ,Grocery,841.89,0,39,M,4,Graduate,Single,NJ,91750,yes,no,no,cellular,Selfemployeed,62192,2
708225483,Blue,200,1,68,01-01-2023,Week-1,Q1,2023,11242.0,1561,4246,81,0.139,Swipe ,Entertainment,806.74,0,38,F,2,Post-Graduate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,55061,2
708226833,Gold,415,0,96,01-01-2023,Week-1,Q1,2023,34516.0,831,13247,107,0.024,Swipe ,Food,1192.23,0,50,M,2,High School,Married,NY,91750,no,no,no,unknown,Businessman,127461,3
708229308,Blue,245,1,72,01-01-2023,Week-1,Q1,2023,3243.0,0,6059,71,0.0,Swipe ,Fuel,727.08,0,37,M,1,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,100839,2
708231183,Blue,460,0,92,01-01-2023,Week-1,Q1,2023,12539.0,910,2643,72,0.073,Swipe ,Grocery,290.73,0,39,F,1,Uneducated,Single,CA,91750,no,no,no,unknown,Retirees,31127,2
708234558,Blue,200,0,88,01-01-2023,Week-1,Q1,2023,2239.0,1340,4540,73,0.598,Chip ,Entertainment,635.6,0,62,M,0,High School,Single,TX,91750,no,yes,no,cellular,Selfemployeed,67827,3
708238833,Blue,365,1,61,01-01-2023,Week-1,Q1,2023,3032.0,2215,1387,30,0.731,Swipe ,Fuel,152.57,0,38,F,2,High School,Married,NY,91750,no,yes,no,cellular,Blue-collar,12994,1
708241233,Blue,95,0,73,01-01-2023,Week-1,Q1,2023,2972.0,0,922,25,0.0,Swipe ,Bills,138.3,0,38,F,1,Graduate,Married,CA,91750,no,yes,no,unknown,Selfemployeed,5225,1
708242283,Blue,295,1,59,01-01-2023,Week-1,Q1,2023,5346.0,0,3253,80,0.0,Swipe ,Food,325.3,0,44,F,1,Unknown,Single,TX,91750,no,yes,yes,cellular,Govt,35755,3
708243483,Blue,250,0,119,01-01-2023,Week-1,Q1,2023,14938.0,1155,2248,51,0.077,Swipe ,Bills,427.12,0,60,F,2,High School,Single,TX,91750,yes,no,no,cellular,Retirees,24156,2
708244458,Blue,405,1,91,01-01-2023,Week-1,Q1,2023,2793.0,1517,3485,72,0.543,Swipe ,Food,383.35,0,26,M,0,Graduate,Single,NY,91750,no,yes,no,cellular,White-collar,37888,3
708245808,Gold,455,0,78,01-01-2023,Week-1,Q1,2023,19671.0,924,13908,124,0.047,Swipe ,Travel,2503.44,0,41,M,0,High School,Unknown,FL,91750,yes,yes,no,telephone,Businessman,145701,1
708248358,Silver,200,1,67,01-01-2023,Week-1,Q1,2023,29937.0,0,14863,109,0.0,Online ,Bills,1932.19,0,61,F,2,Graduate,Married,CA,90094,yes,no,no,unknown,Businessman,186885,1
708249708,Blue,300,1,92,01-01-2023,Week-1,Q1,2023,4844.0,1576,1489,48,0.325,Swipe ,Fuel,253.13,0,39,F,2,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,14975,1
708252108,Blue,475,1,162,01-01-2023,Week-1,Q1,2023,7362.0,1907,4065,65,0.259,Chip ,Fuel,243.9,0,50,F,1,Graduate,Single,FL,91750,no,yes,no,cellular,Selfemployeed,49229,2
708253458,Blue,125,1,113,01-01-2023,Week-1,Q1,2023,5528.0,1823,4857,81,0.33,Swipe ,Food,1408.53,0,45,M,2,Unknown,Married,CA,91750,no,yes,no,cellular,Govt,81622,2
708254733,Blue,325,1,73,01-01-2023,Week-1,Q1,2023,2968.0,1873,5171,85,0.631,Swipe ,Fuel,1241.04,0,56,M,2,Graduate,Married,CA,91750,no,no,no,unknown,Blue-collar,95152,2
708255633,Blue,200,0,110,01-01-2023,Week-1,Q1,2023,3761.0,1710,3240,65,0.455,Swipe ,Fuel,550.8,0,47,F,3,Graduate,Single,FL,91750,yes,yes,no,telephone,Blue-collar,35666,2
708260208,Blue,150,1,86,01-01-2023,Week-1,Q1,2023,2057.0,1279,4321,76,0.622,Chip ,Food,1123.46,0,48,F,3,Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,57686,1
708266883,Blue,355,0,136,01-01-2023,Week-1,Q1,2023,1666.0,0,2312,35,0.0,Swipe ,Food,184.96,0,37,F,2,Graduate,Married,TX,91750,no,yes,yes,cellular,Selfemployeed,25423,3
708267858,Blue,140,0,115,01-01-2023,Week-1,Q1,2023,6088.0,2145,2098,52,0.352,Swipe ,Entertainment,482.54,0,33,F,4,High School,Single,NJ,91750,no,no,no,cellular,Selfemployeed,21500,3
708269583,Blue,335,1,102,01-01-2023,Week-1,Q1,2023,2029.0,1377,4014,86,0.679,Chip ,Entertainment,1003.5,0,41,F,1,High School,Single,NY,91750,no,no,no,cellular,White-collar,47653,3
708271833,Silver,195,1,63,01-01-2023,Week-1,Q1,2023,15069.0,1843,3464,67,0.122,Online ,Bills,831.36,0,48,F,3,Graduate,Married,CA,91750,no,yes,yes,unknown,Govt,37680,3
708272808,Blue,150,0,76,01-01-2023,Week-1,Q1,2023,2718.0,1474,3542,59,0.542,Chip ,Fuel,566.72,0,41,F,2,Unknown,Single,FL,91750,yes,yes,no,cellular,White-collar,38560,2
708273858,Blue,355,1,112,01-01-2023,Week-1,Q1,2023,34516.0,0,3734,80,0.0,Swipe ,Fuel,522.76,0,39,F,1,Graduate,Single,NY,91750,no,no,no,cellular,White-collar,41203,1
708276183,Blue,375,0,91,01-01-2023,Week-1,Q1,2023,1760.0,0,1554,35,0.0,Swipe ,Bills,279.72,0,54,F,2,Graduate,Married,TX,91750,no,no,no,cellular,Selfemployeed,14975,2
708281433,Blue,335,0,81,01-01-2023,Week-1,Q1,2023,1438.3,0,3848,75,0.0,Swipe ,Food,269.36,0,40,F,3,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,43626,1
708285108,Blue,420,1,80,01-01-2023,Week-1,Q1,2023,6128.0,2239,13505,116,0.365,Swipe ,Fuel,1620.6,1,44,M,4,Unknown,Married,TX,91750,yes,no,no,cellular,White-collar,131861,1
708286683,Blue,250,0,67,01-01-2023,Week-1,Q1,2023,12045.0,1749,4884,86,0.145,Swipe ,Bills,1123.32,1,38,M,1,Graduate,Unknown,FL,91750,yes,no,no,cellular,White-collar,83306,2
708288108,Blue,360,1,118,01-01-2023,Week-1,Q1,2023,5639.0,1547,647,15,0.274,Swipe ,Bills,135.87,1,29,M,0,Graduate,Single,NJ,91750,no,no,no,cellular,Selfemployeed,1250,3
708290208,Silver,355,1,109,01-01-2023,Week-1,Q1,2023,13608.0,1190,3118,76,0.087,Chip ,Entertainment,841.86,1,63,F,2,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,34835,2
708291633,Blue,390,1,100,01-01-2023,Week-1,Q1,2023,4651.0,2499,5097,79,0.537,Swipe ,Entertainment,1223.28,1,54,M,1,Unknown,Single,FL,91750,no,no,no,cellular,Businessman,92894,1
708292833,Blue,150,1,59,01-01-2023,Week-1,Q1,2023,27389.0,1250,2754,60,0.046,Online ,Bills,247.86,1,41,F,2,Graduate,Married,CA,91750,yes,no,no,cellular,Govt,32170,3
708295533,Blue,250,0,106,01-01-2023,Week-1,Q1,2023,3549.0,1880,1215,22,0.53,Swipe ,Travel,230.85,1,55,M,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10119,2
708296883,Blue,280,0,93,01-01-2023,Week-1,Q1,2023,11749.0,788,1178,27,0.067,Swipe ,Travel,259.16,1,31,F,1,Graduate,Single,CA,91750,no,yes,yes,unknown,Selfemployeed,8250,1
708298233,Blue,125,0,72,01-01-2023,Week-1,Q1,2023,6184.0,0,1756,49,0.0,Swipe ,Fuel,456.56,1,44,F,4,High School,Married,NJ,91750,no,no,no,unknown,Blue-collar,15092,3
708300483,Blue,245,0,110,01-01-2023,Week-1,Q1,2023,7882.0,605,704,16,0.077,Swipe ,Travel,197.12,1,46,F,4,Doctorate,Married,NY,91750,no,yes,no,cellular,Selfemployeed,1250,1
708301683,Blue,125,0,89,01-01-2023,Week-1,Q1,2023,20798.0,1059,8038,90,0.051,Swipe ,Food,2009.5,0,40,M,4,High School,Unknown,NY,91750,no,yes,no,cellular,Govt,110415,2
708303108,Blue,175,0,88,01-01-2023,Week-1,Q1,2023,1770.0,1706,4940,94,0.964,Swipe ,Grocery,1037.4,0,36,M,3,High School,Married,NJ,91750,yes,yes,no,cellular,Govt,86574,1
708307533,Blue,345,0,89,01-01-2023,Week-1,Q1,2023,3086.0,0,4129,81,0.0,Swipe ,Food,371.61,0,37,M,4,Post-Graduate,Married,NY,91750,yes,no,no,cellular,Govt,51165,2
708313608,Blue,245,1,61,01-01-2023,Week-1,Q1,2023,2464.0,2116,2110,43,0.859,Swipe ,Food,274.3,0,59,F,1,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,21659,3
708314808,Blue,100,1,111,01-01-2023,Week-1,Q1,2023,5659.0,1393,1570,40,0.246,Swipe ,Fuel,298.3,0,49,F,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Selfemployeed,14975,3
708316008,Blue,345,1,108,01-01-2023,Week-1,Q1,2023,10031.0,0,1792,29,0.0,Swipe ,Fuel,394.24,0,43,F,5,Unknown,Single,CA,91750,no,no,no,cellular,Selfemployeed,15806,3
708319908,Blue,300,0,92,01-01-2023,Week-1,Q1,2023,4116.0,1473,8667,70,0.358,Online ,Travel,1820.07,0,56,M,1,Graduate,Single,TX,91750,yes,yes,no,unknown,Govt,116230,3
708323208,Blue,290,1,118,01-01-2023,Week-1,Q1,2023,1522.0,0,2241,36,0.0,Swipe ,Food,403.38,0,45,F,5,Doctorate,Married,TX,91750,no,no,yes,unknown,Businessman,24058,1
708324483,Blue,290,1,70,01-01-2023,Week-1,Q1,2023,1548.0,0,4420,71,0.0,Chip ,Bills,707.2,0,63,M,0,Unknown,Unknown,CA,91750,no,no,yes,cellular,Selfemployeed,61485,2
708330858,Blue,250,1,133,01-01-2023,Week-1,Q1,2023,8249.0,1381,678,11,0.167,Swipe ,Travel,122.04,0,51,F,2,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,1250,3
708331758,Silver,250,0,120,01-01-2023,Week-1,Q1,2023,32444.0,1843,3725,60,0.057,Swipe ,Fuel,409.75,0,42,F,3,High School,Single,NY,91750,no,no,yes,telephone,Businessman,41112,3
708332808,Blue,470,1,111,01-01-2023,Week-1,Q1,2023,3471.0,0,14381,115,0.0,Swipe ,Fuel,3163.82,0,49,F,4,Uneducated,Married,TX,91750,no,no,no,cellular,Businessman,166923,2
708334158,Blue,200,0,98,01-01-2023,Week-1,Q1,2023,9863.0,686,3068,58,0.07,Chip ,Entertainment,306.8,0,51,F,1,Uneducated,Single,NY,91750,yes,yes,no,unknown,White-collar,34512,2
708337683,Blue,465,1,98,01-01-2023,Week-1,Q1,2023,21800.0,893,3820,62,0.041,Chip ,Entertainment,573.0,0,27,M,0,Graduate,Married,MI,91750,no,no,yes,cellular,Selfemployeed,42779,1
708338958,Blue,200,1,54,01-01-2023,Week-1,Q1,2023,3173.0,1713,3797,75,0.54,Chip ,Bills,341.73,0,42,M,2,High School,Unknown,FL,91750,no,no,no,cellular,Blue-collar,42334,3
708340758,Blue,300,0,88,01-01-2023,Week-1,Q1,2023,7769.0,0,8109,74,0.0,Chip ,Grocery,1054.17,0,53,M,3,Graduate,Single,NY,91750,yes,no,no,cellular,Businessman,111220,2
708341958,Blue,175,1,75,01-01-2023,Week-1,Q1,2023,2061.0,1904,4480,86,0.924,Swipe ,Food,716.8,0,48,M,4,Unknown,Married,TX,91750,no,yes,no,cellular,Blue-collar,64665,1
708344358,Blue,125,1,81,01-01-2023,Week-1,Q1,2023,2495.0,1354,1311,31,0.543,Swipe ,Travel,249.09,0,44,F,4,High School,Single,CA,91750,no,yes,yes,cellular,Selfemployeed,11638,2
708347583,Blue,465,1,42,01-01-2023,Week-1,Q1,2023,2509.0,1144,1804,38,0.456,Swipe ,Grocery,378.84,0,39,F,0,Graduate,Married,CA,91750,no,yes,no,unknown,Blue-collar,16112,2
708354858,Blue,200,0,58,01-01-2023,Week-1,Q1,2023,14938.0,0,8192,80,0.0,Swipe ,Bills,491.52,0,41,M,2,Graduate,Married,CA,91750,no,no,no,telephone,Businessman,111730,1
708355683,Blue,285,0,46,01-01-2023,Week-1,Q1,2023,16815.0,0,2976,65,0.0,Swipe ,Fuel,624.96,0,46,F,4,Unknown,Single,NJ,91750,no,no,yes,unknown,Govt,34013,1
708357183,Blue,300,1,139,01-01-2023,Week-1,Q1,2023,1438.3,0,3511,64,0.0,Chip ,Fuel,702.2,0,38,F,4,Doctorate,Married,CA,91750,no,no,no,unknown,Businessman,38164,2
708358683,Silver,100,0,92,01-01-2023,Week-1,Q1,2023,34516.0,1236,1665,40,0.036,Swipe ,Bills,449.55,0,56,F,1,Graduate,Married,TX,91750,yes,no,no,cellular,Selfemployeed,14975,1
708360108,Blue,245,1,71,01-01-2023,Week-1,Q1,2023,2800.0,1338,4869,90,0.478,Chip ,Grocery,779.04,0,40,M,2,Uneducated,Single,TX,91750,no,yes,yes,cellular,Govt,82412,2
