Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score
*********,40,M,3,Graduate,Single,MA,91750,no,yes,no,cellular,Blue-collar,47224,1
*********,55,F,0,Graduate,Single,NY,91750,yes,no,no,unknown,White-collar,25341,2
*********,33,M,2,Doctorate,Single,NY,91750,no,yes,yes,cellular,Blue-collar,53644,3
*********,54,F,1,Uneducated,Married,CA,91750,no,yes,no,cellular,Govt,27423,2
*********,46,M,3,Graduate,Married,NY,91750,yes,yes,no,cellular,Blue-collar,110014,2
*********,44,M,4,Graduate,Unknown,IA,91750,no,no,no,telephone,Businessman,109186,3
*********,40,F,3,Graduate,Married,NJ,91750,yes,yes,no,cellular,Govt,25835,2
*********,44,F,3,Graduate,Married,CA,91750,yes,yes,no,unknown,Selfemployeed,11345,2
*********,51,F,2,Uneducated,Single,NY,91750,yes,no,no,cellular,Selfemployeed,23215,2
*********,60,M,0,Graduate,Single,CA,91750,no,no,no,cellular,Businessman,103581,3
*********,49,F,2,Unknown,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,44555,3
*********,43,F,5,Graduate,Married,TX,91750,no,yes,no,cellular,Selfemployeed,12381,2
*********,54,M,1,Graduate,Single,NY,91750,no,yes,no,unknown,White-collar,123809,1
*********,32,F,0,Graduate,Married,FL,91750,yes,no,no,unknown,Selfemployeed,14975,1
*********,52,F,3,Graduate,Married,NY,91750,no,yes,no,unknown,Businessman,30586,1
*********,43,F,1,Graduate,Single,CA,91750,no,no,no,unknown,Retirees,28367,3
*********,49,F,0,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,15355,1
*********,49,F,1,Uneducated,Married,CA,91750,no,no,no,cellular,Govt,53428,2
*********,42,F,3,Graduate,Single,CA,91750,yes,yes,no,unknown,Selfemployeed,7865,2
*********,48,F,3,Unknown,Unknown,FL,91750,no,no,no,cellular,Blue-collar,54304,1
*********,47,F,2,Doctorate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,20100,2
*********,47,F,4,Unknown,Unknown,CA,91750,no,yes,no,cellular,Blue-collar,24295,1
*********,47,F,3,Unknown,Single,NY,91750,no,yes,no,unknown,Govt,32103,3
*********,53,F,2,Graduate,Married,CA,91750,no,no,yes,telephone,Selfemployeed,14975,2
*********,47,F,4,High School,Married,TX,91750,yes,yes,no,unknown,Selfemployeed,27517,3
*********,42,M,1,Uneducated,Married,AK,99504,no,no,yes,cellular,Govt,107887,1
*********,53,M,2,Graduate,Married,CA,91750,yes,no,yes,cellular,Selfemployeed,51233,1
*********,54,M,2,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,79516,1
*********,48,M,1,Graduate,Married,NY,91750,no,yes,no,cellular,Blue-collar,73959,1
*********,42,F,3,Doctorate,Single,FL,91750,yes,yes,no,cellular,Blue-collar,23377,2
*********,44,F,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Retirees,44883,3
*********,40,F,3,High School,Single,TX,91750,no,no,yes,unknown,Retirees,16041,2
*********,58,F,1,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,24221,3
*********,57,F,1,Graduate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,14975,3
*********,38,M,2,Graduate,Married,CA,91750,yes,no,no,cellular,Blue-collar,102561,3
*********,53,F,1,Graduate,Unknown,CA,91750,no,yes,no,cellular,White-collar,56697,2
*********,60,F,1,Uneducated,Single,NJ,91750,no,no,no,cellular,Retirees,53022,3
*********,51,F,3,Uneducated,Married,NY,91750,yes,no,yes,cellular,Businessman,32013,1
*********,39,M,4,Graduate,Single,NJ,91750,yes,no,no,cellular,Selfemployeed,62192,2
*********,38,F,2,Post-Graduate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,55061,2
*********,50,M,2,High School,Married,NY,91750,no,no,no,unknown,Businessman,127461,3
*********,37,M,1,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,100839,2
*********,39,F,1,Uneducated,Single,CA,91750,no,no,no,unknown,Retirees,31127,2
*********,62,M,0,High School,Single,TX,91750,no,yes,no,cellular,Selfemployeed,67827,3
*********,38,F,2,High School,Married,NY,91750,no,yes,no,cellular,Blue-collar,12994,1
*********,38,F,1,Graduate,Married,CA,91750,no,yes,no,unknown,Selfemployeed,5225,1
*********,44,F,1,Unknown,Single,TX,91750,no,yes,yes,cellular,Govt,35755,3
*********,60,F,2,High School,Single,TX,91750,yes,no,no,cellular,Retirees,24156,2
*********,26,M,0,Graduate,Single,NY,91750,no,yes,no,cellular,White-collar,37888,3
*********,41,M,0,High School,Unknown,FL,91750,yes,yes,no,telephone,Businessman,145701,1
*********,61,F,2,Graduate,Married,CA,90094,yes,no,no,unknown,Businessman,186885,1
*********,39,F,2,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,14975,1
*********,50,F,1,Graduate,Single,FL,91750,no,yes,no,cellular,Selfemployeed,49229,2
*********,45,M,2,Unknown,Married,CA,91750,no,yes,no,cellular,Govt,81622,2
*********,56,M,2,Graduate,Married,CA,91750,no,no,no,unknown,Blue-collar,95152,2
*********,47,F,3,Graduate,Single,FL,91750,yes,yes,no,telephone,Blue-collar,35666,2
*********,48,F,3,Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,57686,1
*********,37,F,2,Graduate,Married,TX,91750,no,yes,yes,cellular,Selfemployeed,25423,3
*********,33,F,4,High School,Single,NJ,91750,no,no,no,cellular,Selfemployeed,21500,3
*********,41,F,1,High School,Single,NY,91750,no,no,no,cellular,White-collar,47653,3
*********,48,F,3,Graduate,Married,CA,91750,no,yes,yes,unknown,Govt,37680,3
*********,41,F,2,Unknown,Single,FL,91750,yes,yes,no,cellular,White-collar,38560,2
*********,39,F,1,Graduate,Single,NY,91750,no,no,no,cellular,White-collar,41203,1
*********,54,F,2,Graduate,Married,TX,91750,no,no,no,cellular,Selfemployeed,14975,2
*********,40,F,3,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,43626,1
*********,44,M,4,Unknown,Married,TX,91750,yes,no,no,cellular,White-collar,131861,1
*********,38,M,1,Graduate,Unknown,FL,91750,yes,no,no,cellular,White-collar,83306,2
*********,29,M,0,Graduate,Single,NJ,91750,no,no,no,cellular,Selfemployeed,1250,3
*********,63,F,2,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,34835,2
*********,54,M,1,Unknown,Single,FL,91750,no,no,no,cellular,Businessman,92894,1
*********,41,F,2,Graduate,Married,CA,91750,yes,no,no,cellular,Govt,32170,3
*********,55,M,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10119,2
*********,31,F,1,Graduate,Single,CA,91750,no,yes,yes,unknown,Selfemployeed,8250,1
*********,44,F,4,High School,Married,NJ,91750,no,no,no,unknown,Blue-collar,15092,3
*********,46,F,4,Doctorate,Married,NY,91750,no,yes,no,cellular,Selfemployeed,1250,1
*********,40,M,4,High School,Unknown,NY,91750,no,yes,no,cellular,Govt,110415,2
*********,36,M,3,High School,Married,NJ,91750,yes,yes,no,cellular,Govt,86574,1
*********,37,M,4,Post-Graduate,Married,NY,91750,yes,no,no,cellular,Govt,51165,2
*********,59,F,1,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,21659,3
*********,49,F,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Selfemployeed,14975,3
*********,43,F,5,Unknown,Single,CA,91750,no,no,no,cellular,Selfemployeed,15806,3
*********,56,M,1,Graduate,Single,TX,91750,yes,yes,no,unknown,Govt,116230,3
*********,45,F,5,Doctorate,Married,TX,91750,no,no,yes,unknown,Businessman,24058,1
*********,63,M,0,Unknown,Unknown,CA,91750,no,no,yes,cellular,Selfemployeed,61485,2
*********,51,F,2,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,1250,3
*********,42,F,3,High School,Single,NY,91750,no,no,yes,telephone,Businessman,41112,3
*********,49,F,4,Uneducated,Married,TX,91750,no,no,no,cellular,Businessman,166923,2
*********,51,F,1,Uneducated,Single,NY,91750,yes,yes,no,unknown,White-collar,34512,2
*********,27,M,0,Graduate,Married,MI,91750,no,no,yes,cellular,Selfemployeed,42779,1
*********,42,M,2,High School,Unknown,FL,91750,no,no,no,cellular,Blue-collar,42334,3
*********,53,M,3,Graduate,Single,NY,91750,yes,no,no,cellular,Businessman,111220,2
*********,48,M,4,Unknown,Married,TX,91750,no,yes,no,cellular,Blue-collar,64665,1
*********,44,F,4,High School,Single,CA,91750,no,yes,yes,cellular,Selfemployeed,11638,2
*********,39,F,0,Graduate,Married,CA,91750,no,yes,no,unknown,Blue-collar,16112,2
*********,41,M,2,Graduate,Married,CA,91750,no,no,no,telephone,Businessman,111730,1
*********,46,F,4,Unknown,Single,NJ,91750,no,no,yes,unknown,Govt,34013,1
*********,38,F,4,Doctorate,Married,CA,91750,no,no,no,unknown,Businessman,38164,2
*********,56,F,1,Graduate,Married,TX,91750,yes,no,no,cellular,Selfemployeed,14975,1
*********,40,M,2,Uneducated,Single,TX,91750,no,yes,yes,cellular,Govt,82412,2
*********,55,F,3,Graduate,Single,CA,91750,no,yes,yes,unknown,White-collar,39861,2
*********,42,M,4,Graduate,Single,TX,91750,no,no,no,cellular,Blue-collar,60037,3
*********,47,M,2,Uneducated,Married,NY,91750,yes,no,no,telephone,Govt,101602,1
*********,50,M,1,High School,Unknown,TX,91750,no,yes,no,cellular,Blue-collar,86281,2
*********,41,F,3,High School,Married,TX,91750,yes,no,no,cellular,Blue-collar,20495,2
*********,45,F,4,Post-Graduate,Single,CA,91750,no,no,no,cellular,Govt,57624,1
*********,43,F,4,Graduate,Unknown,TX,91750,no,yes,no,cellular,Govt,21828,3
*********,42,M,2,Uneducated,Single,NJ,91750,yes,no,no,cellular,White-collar,71834,1
*********,35,F,1,Unknown,Married,TX,91750,no,no,no,cellular,Selfemployeed,30259,2
*********,45,F,1,High School,Unknown,CA,91750,no,no,no,unknown,Blue-collar,28037,3
*********,54,M,1,Post-Graduate,Unknown,NY,91750,no,yes,no,cellular,Govt,119059,2
*********,42,F,5,Graduate,Married,GA,91750,yes,no,no,cellular,Blue-collar,19006,3
*********,37,M,3,High School,Single,TX,91750,no,yes,yes,unknown,Businessman,165306,3
*********,49,M,2,High School,Single,NY,91750,no,no,no,cellular,Retirees,53965,1
*********,36,M,3,Unknown,Single,CA,91750,yes,no,no,cellular,Retirees,71640,2
*********,55,F,3,Post-Graduate,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,45818,1
*********,44,M,3,Unknown,Single,CA,91750,no,no,no,cellular,White-collar,119585,1
*********,45,F,3,High School,Married,CA,91750,no,no,no,telephone,White-collar,57821,1
*********,41,F,3,High School,Unknown,TX,91750,no,yes,no,unknown,Govt,12775,3
*********,45,M,3,Unknown,Married,CA,91750,no,yes,no,cellular,White-collar,76565,2
*********,57,M,3,Unknown,Single,NY,91750,yes,yes,yes,telephone,Govt,78127,3
*********,48,M,3,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,60111,2
*********,49,F,3,Unknown,Single,NY,91750,no,no,no,unknown,Blue-collar,32229,2
*********,57,M,2,Unknown,Single,CA,91750,no,yes,yes,unknown,Blue-collar,95876,2
*********,62,F,1,Unknown,Married,CA,91750,yes,yes,no,cellular,White-collar,23378,2
*********,45,F,3,Graduate,Single,NY,91750,no,yes,no,cellular,Blue-collar,41115,3
*********,53,F,4,Unknown,Single,NY,91750,no,yes,no,cellular,Blue-collar,28601,2
*********,44,M,3,Graduate,Married,TX,91750,no,yes,no,cellular,Blue-collar,76246,3
*********,54,F,2,High School,Single,NY,91750,no,no,no,cellular,Selfemployeed,6550,2
*********,48,F,1,Doctorate,Married,IA,91750,no,no,no,cellular,Businessman,35491,2
*********,60,F,1,Uneducated,Married,CT,91750,yes,yes,no,cellular,Businessman,38451,3
*********,33,M,3,Graduate,Married,FL,91750,no,no,no,cellular,Blue-collar,72412,2
*********,57,M,3,Graduate,Single,FL,91750,yes,no,no,cellular,White-collar,118175,2
*********,41,F,2,Graduate,Married,CA,91750,no,no,no,telephone,Blue-collar,14633,3
*********,62,M,1,Graduate,Single,FL,91750,no,no,no,cellular,Govt,61002,2
*********,52,F,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10627,2
*********,41,M,4,High School,Single,TX,91750,no,no,yes,telephone,Selfemployeed,30828,3
*********,42,F,4,Graduate,Married,CA,91750,yes,no,no,cellular,Businessman,42377,2
*********,44,F,4,Uneducated,Married,FL,91750,no,no,no,cellular,Blue-collar,20389,3
*********,51,F,3,High School,Single,NY,91750,no,yes,no,cellular,Blue-collar,20281,3
*********,40,F,2,High School,Married,MA,91750,yes,yes,no,cellular,Businessman,200276,2
*********,38,M,2,Unknown,Married,CA,91750,yes,no,no,cellular,Businessman,97684,3
*********,26,F,0,Graduate,Single,FL,91750,yes,no,no,cellular,Retirees,40785,2
*********,42,F,3,Graduate,Married,NY,91750,no,yes,no,cellular,Businessman,41039,2
*********,33,F,0,Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,6550,2
*********,45,F,5,Uneducated,Married,NY,91750,no,yes,yes,unknown,Selfemployeed,14975,2
*********,54,F,4,Graduate,Married,NJ,91750,no,no,no,cellular,Businessman,235349,2
*********,57,F,3,Uneducated,Single,FL,91750,no,yes,no,unknown,Selfemployeed,38273,3
*********,47,M,2,Graduate,Married,CA,91750,no,yes,yes,cellular,White-collar,105522,2
*********,44,M,5,Unknown,Married,CA,91750,yes,no,no,cellular,Govt,69787,3
*********,50,M,4,Graduate,Married,TX,91750,no,no,no,unknown,Blue-collar,108894,3
*********,55,F,1,Doctorate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,5525,3
*********,45,F,2,Uneducated,Married,NY,91750,no,yes,no,unknown,White-collar,58670,3
*********,65,F,0,Uneducated,Single,FL,91750,no,no,no,cellular,Govt,23891,3
*********,51,M,2,Graduate,Married,TX,91750,yes,no,yes,telephone,Businessman,219668,2
*********,39,M,2,Unknown,Married,NJ,91750,yes,no,no,cellular,Blue-collar,58122,3
*********,59,F,0,Doctorate,Single,CA,91750,yes,no,no,cellular,Retirees,15671,3
*********,45,F,3,Uneducated,Married,TX,91750,yes,yes,yes,cellular,Businessman,23898,3
*********,56,F,5,Doctorate,Single,TX,91750,yes,no,no,unknown,Retirees,38817,3
*********,46,F,3,Graduate,Married,NY,91750,no,yes,no,cellular,Businessman,43716,2
*********,56,F,2,Graduate,Single,CA,91750,no,no,no,cellular,Selfemployeed,6550,2
*********,48,F,5,Post-Graduate,Married,CA,91750,no,no,no,cellular,Selfemployeed,41132,3
*********,33,M,1,Graduate,Single,CA,91750,yes,yes,no,cellular,Govt,117520,2
*********,45,F,3,High School,Married,FL,91750,no,yes,no,cellular,White-collar,32495,3
*********,43,F,4,Graduate,Single,NY,91750,no,no,no,cellular,Businessman,48566,2
*********,40,M,4,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,113841,2
*********,35,F,2,High School,Single,FL,91750,yes,no,no,cellular,Blue-collar,17340,3
*********,48,F,2,Graduate,Married,NJ,91750,yes,no,no,cellular,Blue-collar,45372,2
*********,47,F,3,Uneducated,Married,IL,91750,no,yes,no,unknown,Retirees,37815,2
*********,52,M,1,Uneducated,Single,VA,91750,no,no,yes,cellular,Selfemployeed,83535,2
*********,55,M,4,Unknown,Single,NY,91750,no,no,no,cellular,Blue-collar,78913,3
*********,34,F,4,Uneducated,Single,TX,91750,yes,no,no,cellular,Selfemployeed,1250,3
*********,55,F,2,High School,Single,CA,90025,no,no,no,unknown,Businessman,214404,2
*********,48,M,3,Graduate,Single,CA,91750,yes,yes,no,cellular,Retirees,45977,3
*********,40,F,5,High School,Single,CA,91750,no,no,no,unknown,Selfemployeed,34616,3
*********,55,F,4,Uneducated,Married,FL,91750,no,yes,no,cellular,White-collar,57484,2
*********,45,F,4,High School,Married,TX,91750,no,yes,no,cellular,Businessman,53906,2
*********,42,F,4,Graduate,Married,TX,91750,no,yes,no,cellular,Blue-collar,52148,3
*********,47,F,2,Unknown,Single,CA,91750,yes,yes,no,unknown,Businessman,20597,2
*********,36,F,1,Uneducated,Single,CA,91701,no,yes,no,cellular,Businessman,198343,3
*********,34,M,3,High School,Married,FL,91750,no,no,no,cellular,Govt,50792,2
*********,44,F,2,Graduate,Unknown,FL,91750,no,no,no,cellular,Blue-collar,13010,2
*********,40,F,3,Unknown,Married,CA,91750,yes,yes,no,cellular,Govt,34149,2
*********,58,M,1,Unknown,Married,NJ,91750,no,yes,yes,cellular,Blue-collar,75578,2
*********,33,M,1,Graduate,Single,IA,91750,no,no,no,telephone,White-collar,114717,3
*********,36,F,2,Graduate,Single,NY,91750,no,no,no,cellular,Govt,31226,2
*********,50,F,2,Uneducated,Married,NJ,91750,no,no,yes,telephone,Retirees,48968,3
*********,51,F,1,Post-Graduate,Single,NY,91750,no,yes,no,cellular,Govt,46675,3
*********,38,M,1,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,60253,2
*********,55,F,2,Doctorate,Single,CA,91750,yes,yes,no,cellular,Businessman,20631,2
*********,59,M,0,High School,Single,NY,91750,yes,no,no,cellular,Govt,94345,2
*********,45,M,4,High School,Married,CA,91750,no,no,no,unknown,Retirees,90458,2
*********,41,M,3,Uneducated,Married,CA,91750,no,no,no,cellular,Selfemployeed,87971,2
*********,49,M,4,Doctorate,Married,NJ,91750,yes,no,no,cellular,Govt,74928,1
*********,51,M,3,Uneducated,Married,CA,90025,no,no,no,unknown,Businessman,203890,2
*********,44,F,4,Graduate,Single,NY,91750,no,no,yes,cellular,Businessman,18357,2
*********,48,M,3,Unknown,Married,NY,91750,no,no,no,cellular,Selfemployeed,41925,3
*********,43,M,1,High School,Married,TX,91750,yes,no,yes,cellular,Businessman,62768,2
*********,37,M,3,High School,Single,CA,91750,no,yes,no,cellular,Govt,75192,3
*********,40,F,2,Uneducated,Married,FL,91750,no,no,no,unknown,Selfemployeed,14975,3
*********,54,M,2,Unknown,Married,FL,91750,no,yes,no,unknown,White-collar,118629,1
*********,53,M,3,Unknown,Married,FL,91750,no,yes,no,cellular,Govt,111225,3
*********,51,F,3,Graduate,Married,CA,90250,yes,no,no,cellular,Businessman,196200,1
*********,50,F,3,Post-Graduate,Single,IL,91750,yes,yes,no,cellular,Businessman,183118,2
*********,50,F,0,Post-Graduate,Married,TX,91750,yes,yes,no,cellular,Businessman,36188,3
*********,58,M,0,Graduate,Single,CA,91750,no,no,no,cellular,Selfemployeed,14975,2
*********,51,F,1,Doctorate,Married,TX,91750,no,yes,no,cellular,Blue-collar,13704,1
*********,41,F,2,Graduate,Married,TX,91750,yes,no,yes,cellular,Selfemployeed,12686,3
*********,47,F,1,Doctorate,Married,NY,91750,yes,no,no,cellular,Blue-collar,33801,2
*********,44,F,2,Graduate,Single,TX,91750,no,yes,no,cellular,Retirees,26226,2
*********,37,M,2,Unknown,Single,NY,91750,no,yes,no,cellular,Blue-collar,55576,1
*********,51,M,3,High School,Married,CA,91750,yes,yes,no,cellular,Businessman,61579,3
*********,39,F,4,High School,Single,CA,91750,yes,yes,no,cellular,Selfemployeed,14975,3
*********,35,F,0,Doctorate,Married,TX,91750,no,yes,no,unknown,White-collar,16316,3
*********,45,F,4,Uneducated,Married,CA,91750,yes,yes,no,cellular,Govt,26447,2
*********,56,F,3,Graduate,Single,FL,91750,yes,yes,no,unknown,Selfemployeed,32924,1
*********,49,M,5,Doctorate,Single,CA,91750,no,yes,yes,cellular,Blue-collar,45984,2
*********,55,M,2,Unknown,Single,NY,91750,no,yes,no,unknown,Businessman,87531,2
*********,47,F,4,Unknown,Married,CA,91750,yes,no,no,cellular,Govt,45701,1
*********,65,M,0,Graduate,Single,CA,91750,no,yes,no,cellular,White-collar,18114,3
*********,37,M,3,Doctorate,Single,FL,91750,no,yes,yes,cellular,Govt,73096,3
*********,40,M,3,Unknown,Single,NJ,91750,no,no,no,cellular,Govt,44044,1
*********,48,M,3,Graduate,Married,NJ,91750,no,yes,no,cellular,Govt,68693,3
*********,36,F,4,Graduate,Single,CA,91750,yes,no,no,unknown,Govt,35767,1
*********,48,F,2,Graduate,Single,NY,91750,yes,yes,no,unknown,White-collar,23554,1
*********,47,F,3,High School,Single,NY,91750,yes,yes,no,cellular,Govt,52557,2
*********,31,F,0,Graduate,Single,NY,91750,yes,no,no,unknown,Blue-collar,21274,3
*********,53,M,3,Unknown,Married,NJ,91750,no,no,no,cellular,Govt,50213,3
*********,33,F,3,Graduate,Married,FL,91750,no,yes,no,cellular,Blue-collar,16244,2
*********,41,M,3,Graduate,Single,CA,91750,no,no,no,cellular,Govt,78702,2
*********,27,F,1,Unknown,Single,MI,91750,no,no,no,cellular,White-collar,38269,1
*********,28,M,0,Post-Graduate,Married,NJ,91750,yes,no,no,cellular,Selfemployeed,14975,3
*********,40,F,1,Uneducated,Married,CA,91750,no,no,no,telephone,Retirees,36638,1
*********,35,F,1,Uneducated,Married,NJ,91750,no,no,no,cellular,Blue-collar,39538,2
*********,51,F,3,Doctorate,Married,CA,90250,yes,yes,no,unknown,Businessman,214064,1
*********,56,F,1,Graduate,Single,CA,91750,yes,yes,no,unknown,White-collar,25413,2
*********,42,M,3,Uneducated,Single,TX,91750,no,no,no,cellular,White-collar,65425,2
*********,60,F,1,High School,Single,TX,91750,yes,yes,yes,unknown,Businessman,30594,3
*********,27,F,1,High School,Single,FL,91750,no,yes,no,unknown,White-collar,20322,1
*********,42,F,2,Graduate,Unknown,TX,91750,yes,yes,no,cellular,Blue-collar,12264,1
*********,38,F,1,Unknown,Married,NJ,91750,yes,no,no,cellular,White-collar,43330,2
*********,57,F,1,Graduate,Married,TX,91750,no,no,no,unknown,Businessman,27897,2
*********,53,M,1,Graduate,Single,NJ,91750,no,no,no,unknown,Businessman,113458,2
*********,39,F,0,High School,Single,CA,91750,no,no,no,telephone,Selfemployeed,10286,1
*********,48,F,3,High School,Single,NY,91750,yes,no,no,cellular,Businessman,47309,1
*********,49,F,4,Graduate,Married,CA,91750,no,no,no,unknown,Blue-collar,13305,2
*********,54,F,1,High School,Single,FL,91750,no,yes,no,telephone,Blue-collar,16829,1
*********,32,M,2,High School,Married,CA,91750,yes,yes,yes,cellular,Retirees,72173,2
*********,49,M,3,Doctorate,Married,FL,91750,no,yes,no,cellular,Govt,94093,2
*********,51,M,2,Doctorate,Single,NY,91750,no,yes,no,cellular,Blue-collar,50004,1
*********,43,F,5,Uneducated,Married,CA,91750,yes,yes,no,cellular,Businessman,46921,3
*********,53,F,3,Graduate,Married,NY,91750,yes,no,no,unknown,White-collar,15566,3
*********,50,M,1,Uneducated,Married,FL,91750,yes,yes,no,cellular,Businessman,86542,1
*********,49,F,4,Uneducated,Married,NY,91750,yes,no,no,cellular,Selfemployeed,19558,1
*********,42,M,2,Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,115771,3
*********,48,F,3,Uneducated,Married,NY,91750,yes,no,no,cellular,Retirees,23705,1
*********,47,F,3,Graduate,Single,CA,91750,yes,yes,yes,cellular,Selfemployeed,14975,3
*********,48,F,3,Post-Graduate,Single,TX,91750,no,yes,no,unknown,Selfemployeed,14975,3
*********,31,M,1,Post-Graduate,Married,FL,91750,yes,yes,no,cellular,White-collar,76589,3
*********,43,F,1,High School,Married,FL,91750,yes,yes,no,telephone,Blue-collar,25474,2
*********,51,M,2,High School,Married,CA,91750,yes,yes,no,cellular,Govt,102868,3
*********,54,F,1,Graduate,Single,NY,91750,yes,no,no,cellular,Businessman,183156,2
*********,46,M,0,Graduate,Single,TX,91750,no,yes,no,unknown,White-collar,116731,2
*********,46,M,3,Graduate,Married,NY,91750,no,no,no,cellular,Blue-collar,83739,2
*********,37,M,3,High School,Married,NJ,91750,yes,no,no,cellular,Businessman,47266,2
*********,41,F,1,Graduate,Married,FL,91750,no,no,no,cellular,White-collar,20731,2
*********,40,F,3,Graduate,Single,TX,91750,yes,no,no,cellular,Govt,23108,3
*********,52,F,1,Uneducated,Single,TX,91750,no,yes,no,cellular,White-collar,32691,3
*********,50,F,3,Uneducated,Married,NY,91750,no,no,no,cellular,White-collar,30977,2
*********,37,F,2,High School,Single,FL,91750,yes,no,no,cellular,Selfemployeed,28042,3
*********,47,F,3,Graduate,Married,CA,91750,yes,no,yes,cellular,Blue-collar,37378,3
*********,32,F,0,Uneducated,Married,TX,91750,yes,yes,no,cellular,Blue-collar,29521,2
*********,49,F,2,High School,Single,MA,91750,no,no,no,cellular,Businessman,49321,3
*********,26,F,0,Unknown,Single,MI,91750,no,no,no,cellular,Selfemployeed,14975,2
*********,38,M,5,Graduate,Single,FL,91750,no,no,no,cellular,Govt,64708,2
*********,38,F,3,Post-Graduate,Unknown,CA,91750,no,no,no,cellular,White-collar,17936,2
*********,57,M,1,High School,Married,NY,91750,yes,no,no,telephone,Govt,41858,2
*********,39,M,1,High School,Married,FL,91750,yes,no,no,cellular,White-collar,124810,2
*********,44,F,4,Graduate,Single,TX,91750,no,no,yes,cellular,Blue-collar,34283,3
*********,45,F,0,Graduate,Single,FL,91750,yes,no,no,cellular,Selfemployeed,43493,2
*********,38,F,3,Unknown,Married,FL,91750,no,yes,no,cellular,Govt,50635,3
*********,47,F,4,Uneducated,Single,UT,91750,no,no,no,cellular,Businessman,23265,3
